Hundename,Score,URL,EpiProgeny
"FTCh Lettermore Trout",5.4375,"url","Dual's Hope Nicam, Eagle Owl's Osiris, Floyd vom Hirschth�rl, Flynn vom Hirschth�rl, Frankie's Rolle, Glengad Dobby, Hh's On Duty Cronos, Huntrets Gott Mos, Huntrets Scilla, Kingsdale Meadow Dark, Labstratego Yellow River, Meadowlark Black Kite, Muschelsucher Clooney, NIINIVUOREN MEREN-SALAISUUS, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Reedsweeper's Desna, Sea-Croft Kay's Iowa, Sea-Croft Nimble, Searover Day Mackay, Searover Kellys Guns N'roses, Searover Ruffling Thea, Searover Sweet Flip Flop, S?KH I VATTUMANNEN HUMLE, Vauhti-Noudon Vauhtineito, Wijmas Lilla My, Wijmas Mymlan, Willowyck Unite, Zetastar Zesty Boy"
"FTCh Craighorn Bracken (KCSB 3306CI)",5.25,"url","Anthony Kenneth from Grannies Garden, Brufinn Keep Retrieving Doc, Chilihunters Pro Hazy, Deep Impact As Nike, Glengad Dobby, Hardrocks Blue Danube, Hypnos Spectre, Kingsdale Meadow Dark, Meadowlark Marigold, Meadowlark Mr Badger, Muschelsucher Clooney, Never change Gasper, Perdix Gundogs Englishman in New York, Pibiz Game Keeper, Polarfischer Greg, Quickrunners Alan, Quickrunners August, Reedsweeper's Desna, Searover Sweet Flip Flop, Thorsvi Harris, Viltv�rdarns Unika Enya, Wijmas Lilla My, Wijmas Mymlan, Willowridge Five Star"
"Nidaros Chili",5.25,"url","Chilihunters Game Glen, Chilihunters Over Bridge, Chilihunters Over Trouble, Chilihunters Pro Hazy, NIINIVUOREN KULTA-KUTRI, Waterfowler Ace"
"SE J(J)CH Duvkullans Cello",5.25,"url","Chilihunters Over Bridge, Chilihunters Over Trouble, Huntrets Gott Mos, Huntrets Scilla, IVANTHES FIRST PLOPP, Middle River's Forest Harmony, Searover Cosys Karo, Searover Kellys Guns N'roses, Searover Sweet Flip Flop, SE LCH Streamlight's Ace Leon"
"Annual's Sweet Biscuit",5.25,"url","Daisy vom Bosselbacherhof, Dolly vom Bosselbacherhof, Faithful Bright Eyes Autumn Love, Jumping Jack's Flash Absolute Power, Kebrekato Famehunter, Kebrekato Fiddle Dee, Nothing Matters vom Auerswalder Teich"
"Whitecity Black",5.25,"url","Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Mandylike's Twinkle, NIINIVUOREN KULTA-KUTRI, NIINIVUOREN MEREN-SALAISUUS, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO"
"NORDJCH Searover Fancy Fascination",5.1875,"url","Caper Cailie's Ohio, Eagle Owl's Osiris, Frankie's Rolle, Huntrets Gott Mos, Huntrets Scilla, Hypnos Spectre, IVANTHES FIRST PLOPP, Labstratego Yellow River, Middle River's Forest Harmony, Moorman's Lennie Mirak, Sea-Croft Kay's Iowa, Searover Day Mackay, Searover Kellys Guns N'roses, Searover Sweet Flip Flop, SE LCH Streamlight's Ace Leon, Streamlight's Grappas Dexter, Streamlight's Pearl Sandy, Thorsvi Harris, Thorsvi Rock Creek, Vauhti-Noudon Vauhtineito, Viltv�rdarns Galax, Viltv�rdarns Unika Enya, Willowridge Five Star, Winning Line's License to Kill"
"Gameflight Goss",5,"url","Chilihunters Game Glen, Mandylike's Porsche, NIINIVUOREN KULTA-KUTRI, Waterfowler Ace"
"Pollbear Rockpool",5,"url","Dimh�jdens Jack Af Barney, G�salyckans Gary Cooper, G�salyckans Handsome Boy, Middle River's Forest Harmony, Waterfowler Ace"
"FTCh Stormwatch Spider of Tasco",4.875,"url","Floyd vom Hirschth�rl, Flynn vom Hirschth�rl, Frankie's Rolle, Glengad Dobby, Hh's On Duty Cronos, Huntrets Gott Mos, Huntrets Scilla, Kingsdale Meadow Dark, Labstratego Yellow River, Meadowlark Black Kite, Muschelsucher Clooney, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Reedsweeper's Desna, Sea-Croft Kay's Iowa, Sea-Croft Nimble, Searover Day Mackay, Searover Kellys Guns N'roses, Searover Sweet Flip Flop, S?KH I VATTUMANNEN HUMLE, Vauhti-Noudon Vauhtineito, Zetastar Zesty Boy"
"Int. FTCH ChTa Carolhill Quistador",4.875,"url","Middle River's Forest Harmony, Polarfischer Greg, Quickrunners Alan, Quickrunners August"
"FTCh Lochmuir Bonnie",4.8125,"url","Brufinn Keep Retrieving Doc, Chilihunters Pro Hazy, Cosmic Cover's Mill's Jaywalker, Dimh�jdens Jack Af Barney, Frankie's Rolle, Hardrocks Blue Danube, SE J(J)CH Hillus Drake, Huntrets Gott Mos, Huntrets Scilla, Hypnos Spectre, Kingsdale Meadow Dark, Meadowlark Marigold, Meadowlark Mr Badger, Muschelsucher Clooney, Never change Gasper, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Quickrunners Alan, Quickrunners August, Reedsweeper's Desna, Sea-Croft Nimble, Searover Easy Sjakk, Searover Sweet Flip Flop, Streamlight's Grappas Dexter, Streamlight's Pearl Sandy, Viltv�rdarns Unika Enya, Wijmas Lilla My, Wijmas Mymlan, Winning Line's License to Kill"
"Copperbirch Corona",4.75,"url","Kosta Kl�vers Bran, Meadowlark Marigold, Meadowlark Mr Badger"
"Int FT Ch Kelland Ross",4.625,"url","COSMIC COVER'S WIN CALL TO FIND OUT, Hillraisins Black Bertha, Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Middle River's Forest Harmony, Never change Gasper, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO, Perdix Gundogs Englishman in New York, Raven vom Tor zur Egge"
"Int. FTCH Gianna of Carinthia",4.625,"url","COSMIC COVER'S WIN CALL TO FIND OUT, Hillraisins Black Bertha, Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Middle River's Forest Harmony, Never change Gasper, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO, Perdix Gundogs Englishman in New York, Raven vom Tor zur Egge"
"FTCh Minstead Morse",4.5625,"url","Caper Cailie's Ohio, Eagle Owl's Osiris, Frankie's Rolle, Glengad Dobby, Hypnos Spectre, IVANTHES FIRST PLOPP, Kosta Kl�vers Bran, Labstratego Yellow River, Middle River's Forest Harmony, Moorman's Lennie Mirak, Never change Gasper, Raven vom Tor zur Egge, Sea-Croft Kay's Iowa, Searover Day Mackay, Searover Kellys Guns N'roses, Searover Sweet Flip Flop, Streamlight's Grappas Dexter, Thorsvi Rock Creek, Vauhti-Noudon Vauhtineito, Viltv�rdarns Galax, Viltv�rdarns Unika Enya, Willowridge Five Star, Winning Line's License to Kill"
"FTCh Baildonian Baron of Craighorn",4.5,"url","Anthony Kenneth from Grannies Garden, Batmoors' Apollo Lurgan, Brufinn Keep Retrieving Doc, Deep Impact As Nike, Dimh�jdens Jack Af Barney, Frankie's Rolle, Hh's On Duty Cronos, SE J(J)CH Hillus Drake, Huntrets Gott Mos, Huntrets Scilla, Kingsdale Meadow Dark, Meadowlark Black Kite, Meadowlark Marigold, Meadowlark Mr Badger, Pibiz Game Keeper, Polarfischer Greg, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Searover Easy Sjakk, Searover Sweet Flip Flop, Streamlight's Grappas Dexter, Streamlight's Pearl Sandy, Thorsvi Rock Creek, S?KH I VATTUMANNEN HUMLE, Wijmas Lilla My, Wijmas Mymlan, Winning Line's License to Kill, Zetastar Zesty Boy"
"FTCh Waterford Ganton",4.5,"url","Batmoors' Apollo Lurgan, Dual's Hope Nicam, Thorsvi Harris, Thorsvi Rock Creek, Willowridge Five Star"
"FTCh Millcottage Pathfinder",4.5,"url","Glengad Dobby, IVANTHES FIRST PLOPP, Lochmuir Casey, Moorman's Lennie Mirak, Splash of Water's Capercaillie, Splash of Water's Grouse, SE LCH Streamlight's Ace Leon, Tealshead Bracken"
"Mandylike's Blissfull Bean",4.5,"url","Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, NIINIVUOREN KULTA-KUTRI, NIINIVUOREN MEREN-SALAISUUS, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO"
"FTCh Hatchfield Feargal",4.3125,"url","Batmoors' Apollo Lurgan, Cliff vom Zwillbrocker Venn, Cosmic Cover's Mill's Jaywalker, Dual's Hope Nicam, Gr�fin von Westerholts Kastalia, Hh's On Duty Cronos, Hypnos Spectre, Kosta Kl�vers Bran, Limmerhultarna's Solstorm, Meadowlark Marigold, Meadowlark Mr Badger, Namusillan Tammikehr��j�, Sea-Croft Kay's Iowa, Searover Day Mackay, Streamlight's Grappas Dexter, Sven (SE21895/2015), Thorsvi Harris, Thorsvi Rock Creek, Willowridge Five Star"
"FTCh Emmawood Drake",4.25,"url","Cliff vom Zwillbrocker Venn, Kosta Kl�vers Bran, Sea-Croft Kay's Iowa, Searover Day Mackay, Sven (SE21895/2015), Thorsvi Rock Creek"
"Bundes-/Clubjgdsgr.'96 Dt-JCh., Dt-Ch Starlight Fred of Dolwen",4.25,"url","Funny Oskar von Gugi's Kate, Gulliver of Woodpecker's Lane, Lauterrinn's Dale Sir Falk Freddy"
"Delfleet Hawk",4.25,"url","IVANTHES FIRST PLOPP, Splash of Water's Capercaillie, Splash of Water's Grouse, SE LCH Streamlight's Ace Leon"
"Int. Bel. Lux. VDH Ch Antonine Pagemaster",4.1875,"url","Alerich of Trickster Hero, Holli von Gugi's Kate, Kleo vom Fallenbergs-Hof, Zlotha-Baba von der Pfalz"
"SE U(U)CH Jayncourt Natural Star",4.1875,"url","Donna of Anny's Labs, Dumbledore of Anny's Labs, Faithful Bright Eyes Autumn Love, Jumping Jack's Flash Absolute Power, Kebrekato Famehunter, Kebrekato Fiddle Dee, Meta vom Barkendiek, Nothing Matters vom Auerswalder Teich, Yes we can Flic in France"
"SE J(J)CH SE J(A)CH Moorman's Look Twice",4.125,"url","Huntrets Scilla, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Reedsweeper's Desna, Sea-Croft Kay's Iowa, Splash of Water's Capercaillie, Splash of Water's Grouse, S?KH I VATTUMANNEN HUMLE, Willowridge Five Star, Winning Line's License to Kill"
"Orla vom D�llnitztal",4,"url","Ambra vom freien Blick, Aslan vom freien Blick"
"Ch FI PL CZ BG MNE MK Chablais Sable Blue Caramelo",4,"url","Aprilmist Feat Wandoris, APRILMIST FLATLINER"
"OKRADOS BALLAD OF PASSION",4,"url","Aprilmist Feat Wandoris, APRILMIST FLATLINER"
"Coco Loco's Xavier",4,"url","Black Hamlet L for Lake Shasta, Just Bertha von der Tarpenbek"
"MANDYLIKE'S OVERTOP",4,"url","Chilihunters Over Bridge, Chilihunters Over Trouble"
"JYCKEG?RDENS CLEVER CITTRA",4,"url","Chilihunters Over Bridge, Chilihunters Over Trouble"
"Proletariat Aureole",4,"url","Chilihunters Pro Hazy, Reedsweeper's Desna"
"Annual's Ground Force",4,"url","Daisy vom Bosselbacherhof, Dolly vom Bosselbacherhof"
"Hanka Nightmare of Fire",4,"url","Daisy vom Bosselbacherhof, Dolly vom Bosselbacherhof"
"Bluna of Anny's Labs",4,"url","Donna of Anny's Labs, Dumbledore of Anny's Labs"
"Chundaff American Dreamer",4,"url","Double Rainbow vom Stuckenbuscher Wald, Fancyful Tramp Charly Brown"
"Precious For Eternity No Matter Why",4,"url","DE (VDH)CH Elsa von der Aacher Haag, Enno von der Aacher Haag"
"Beluna von Riedenberg",4,"url","Floyd vom Hirschth�rl, Flynn vom Hirschth�rl"
"Grille vom Hirschth�rl",4,"url","Flying Flap Ears Duncan, Flying Flap Ears Ice Age"
"G�salyckans Day Light",4,"url","G�salyckans Gary Cooper, G�salyckans Handsome Boy"
"DKFTCh GBFTW DKJCh SEJ(a)Ch Lakedown Diawl Bach",4,"url","Glengad Dobby, Kosta Kl�vers Bran, Sea-Croft Kay's Iowa, Splash of Water's Capercaillie, Splash of Water's Grouse, Winning Line's License to Kill"
"Fieldcourt Dancing Pioneer",4,"url","Hillraisins Black Bertha, Huntrets Gott Mos, Huntrets Scilla, IVANTHES FIRST PLOPP, Limmerhultarna's Solstorm, Searover Ruffling Thea, Splash of Water's Capercaillie, Splash of Water's Grouse, SE LCH Streamlight's Ace Leon, Streamlight's Pearl Sandy, Sven (SE21895/2015), Thorsvi Harris, Viltv�rdarns Unika Enya, Willowridge Five Star, Zetastar Zesty Boy"
"SEJ(J)CH NOJCH Searover All In Duff",4,"url","Huntrets Gott Mos, Huntrets Scilla"
"Kebrekato Charity Star",4,"url","Kebrekato Famehunter, Kebrekato Fiddle Dee"
"Lintukarin Ketku",4,"url","Lintukarin Armastaipale, LINTUKARIN LASSEVIREN"
"NIINIVUOREN PAKKAS VAHINKO",4,"url","Lintukarin Armastaipale, LINTUKARIN LASSEVIREN"
"FTW Oakleaf Warlord",4,"url","Meadowlark Marigold, Meadowlark Mr Badger"
"Int FTCh Blackthorn Ireneus",4,"url","Never change Gasper, Raven vom Tor zur Egge"
"Madita von der Hollen-Hardt",4,"url","Pictorial Betty, Pictorial Cenny"
"Danielle von der Steinmauer",4,"url","Quickrunners Alan, Quickrunners August"
"Justlike Chinook",4,"url","Sea-Croft Kay's Iowa, Winning Line's License to Kill"
"Justlike Sioux",4,"url","Splash of Water's Capercaillie, Splash of Water's Grouse"
"Viltv?rdarns Ripa",4,"url","Splash of Water's Capercaillie, Splash of Water's Grouse"
"Stenbury Askrike Black Nash",4,"url","Thorsvi Harris, Willowridge Five Star"
"Int. FTCH FIN KVA-FT FI KVA SE KVA SE KVA-FT Blackthorn Bion",4,"url","Wijmas Lilla My, Wijmas Mymlan"
"FTCh Dargdaffin Dynamo",3.875,"url","Chilihunters Over Bridge, Chilihunters Over Trouble, Hardrocks Blue Danube, Hh's On Duty Cronos, IVANTHES FIRST PLOPP, Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Mandylike's Twinkle, Muschelsucher Clooney, Namusillan Tammikehr��j�, NIINIVUOREN KULTA-KUTRI, NIINIVUOREN MEREN-SALAISUUS, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO, Searover Easy Sjakk, Splash of Water's Capercaillie, Splash of Water's Grouse, SE LCH Streamlight's Ace Leon, S?KH I VATTUMANNEN HUMLE, Viltv�rdarns Unika Enya, Zetastar Zesty Boy"
"FTCh Glenbriar Solo",3.8125,"url","Batmoors' Apollo Lurgan, Cosmic Cover's Mill's Jaywalker, COSMIC COVER'S WIN CALL TO FIND OUT, Dual's Hope Nicam, Eagle Owl's Osiris, Flying Flap Ears Ice Age, Gr�fin von Westerholts Kastalia, Hillraisins Black Bertha, Hypnos Spectre, Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Meadowlark Black Kite, Middle River's Forest Harmony, Muschelsucher Clooney, Never change Gasper, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO, Perdix Gundogs Englishman in New York, Pibiz Game Keeper, Quickrunners Alan, Quickrunners August, Raven vom Tor zur Egge, Sea-Croft Nimble, Searover Sweet Flip Flop, Thorsvi Rock Creek, Viltv�rdarns Unika Enya, Wijmas Lilla My, Wijmas Mymlan"
"EngCH Cambremer Tom Cobbley of Charway",3.75,"url","Aaron from Elderberry Grove, Angel of Hope Arik, As Game As Ermara, Black Hamlet L for Lake Shasta, Cassiopeia vom Hof F?rst, Catch me if you can Happy Carlo, Country Companion's Choco Pie, Double Rainbow vom Stuckenbuscher Wald, Eternal Friend's Bright Eyes, Fancyful Tramp Charly Brown, Fiin Hemuli, Gr�fin von Westerholts Kastalia, Grages Annalouisa, Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Hh's On Duty Cronos, Higgins vom Fallenbergs-Hof, Iljoscha von der Perle der S�dpfalz, Jost vom Settenbeck, Just Bertha von der Tarpenbek, King von der Bleiburg, Kleo vom Fallenbergs-Hof, Meta vom Barkendiek, Nanni-Nadalina von der Bleiburg, Omenalaakson Charles For My Love, Saskian Xino"
